year,indicator_code,indicator_name,value
2012,SL.TLF.TOTL.IN,"Labor Force, Total",59869794.0
2012,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.07
2012,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),33.0265015658096
2012,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),62.4844425603217
2012,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.48905587386876
2012,SP.POP.GROW,Population Growth (annual %),0.958355912717609
2012,SP.POP.TOTL,Total Population,155070101.0
2012,SP.RUR.TOTL,Rural Population,110908001.0
2012,SP.URB.TOTL,Urban Population,44162100.0
2013,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),949.520478634602
2013,NY.GDP.PCAP.CD,GDP per Capita (current US$),958.262989798283
2013,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.02341839695075
2013,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),45.0991832486723
2013,SL.EMP.SELF.ZS,Self-employed (% of total employment),61.6191657687968
2013,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),54.649
2013,SL.EMP.VULN.ZS,Vulnerable Employment (% of total employment),59.5723857040062
2013,SL.EMP.WORK.ZS,Wage and Salaried Workers (% of total employment),38.3808359610919
2013,SL.IND.EMPL.ZS,Employment in Industry (% of total employment),20.7888945857964
2013,SL.SRV.EMPL.ZS,Employment in Services (% of total employment),34.1119221655313
2013,SL.TLF.TOTL.IN,"Labor Force, Total",60484221.0
2013,SL.UEM.TOTL.ZS,Unemployment Rate (%),4.426
2013,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total),32.4236999110096
2013,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total),62.9494570158261
2013,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total),4.62684307316426
2013,SP.POP.GROW,Population Growth (annual %),0.938408350120779
2013,SP.POP.TOTL,Total Population,156532141.0
2013,SP.RUR.TOTL,Rural Population,111387170.0
2013,SP.URB.TOTL,Urban Population,45144971.0
2014,NY.ADJ.NNTY.PC.CD,Adjusted Net National Income per Capita (current US$),1068.92849745579
2014,NY.GDP.PCAP.CD,GDP per Capita (current US$),1094.46199702838
2014,NY.GDP.PCAP.KD.ZG,GDP per Capita Growth (annual %),5.09905460197942
2014,SL.AGR.EMPL.ZS,Employment in Agriculture (% of total employment),44.4046216094801
2014,SL.EMP.SELF.ZS,Self-employed (% of total employment),61.3896169979304
2014,SL.EMP.TOTL.SP.ZS,Employment to Population Ratio (%),54.308
